author,link,summary,published_on
Anastasia Prokaieva,https://mlopshowto.com/why-anyone-should-know-delta-lake-if-you-work-with-data-b8c1e3636d60,Why anyone should use Delta Lake while working with Data?,2022-10-04T00:00:00.000+0000
Cody Davis (Comm'l/MM Field Engineering),https://medium.com/plotly/build-real-time-production-data-apps-with-databricks-plotly-dash-269cb64b7575,Build Real-Time Production Data Apps with Databricks and Plotly Dash,2022-10-26T00:00:00.000+0000
Olya Lukashina (Enterprise Field Engineering),https://medium.com/@olukashina/the-field-guide-to-databricks-embracing-the-lakehouse-62a4a7b1b055,"Blog Series - ""The Field Guide to Databricks""",2022-10-31T00:00:00.000+0000
Jitesh Soni,https://canadiandataguy.medium.com/using-spark-streaming-to-merge-upsert-data-into-a-delta-lake-6d34c827a892,Using Spark Streaming to merge/upsert into a Delta Lake,2022-10-12T00:00:00.000+0000
Jitesh Soni,https://canadiandataguy.medium.com/merge-multiple-spark-streams-into-a-delta-table-44301fd549bd,Merge Multiple Spark Streams into a Delta Table,2022-10-13T00:00:00.000+0000
Roberto Salcido (Comm'l/MM Field Engineering),https://medium.com/@rsalcido/snowpark-showdown-3b65a3e5cacb,Snowpark Showdown,2022-10-10T00:00:00.000+0000
Vinny Vijeyakumaar,https://alexanderkwok17.medium.com/selecting-an-effective-productive-machine-learning-platform-8b7d7efa3d4f,Selecting an Effective & Productive Machine Learning Platform,2022-10-15T00:00:00.000+0000
Saurav Bhowmick (Enterprise Field Engineering),https://medium.com/@saurav.bhowmick_24550/data-governance-unity-catalog-encryption-decryption-of-pii-data-6f3417c18bc7,Data Governance (Unity Catalog) : Encryption & Decryption of PII Data,2022-12-13T00:00:00.000+0000
Saurav Bhowmick (Enterprise Field Engineering),https://medium.com/@saurav.bhowmick_24550/dynamically-flatten-nested-xml-using-spark-23dfc8addcc0,Flattening nested XML using Spark,2023-03-27T00:00:00.000+0000
Ajmal Aziz (Comm'l/MM Field Engineering),https://medium.com/@ajmal.t.aziz/using-mlflow-to-deploy-graph-neural-networks-for-monitoring-supply-chain-risk-644c87e5259e,Using MLflow to Deploy Graph Neural Networks for Monitoring Supply Chain Risk,2022-09-12T00:00:00.000+0000
Sathish Gangichetty (Enterprise Field Engineering),https://dsmonk.medium.com/scalable-vector-search-for-ai-apps-with-milvus-and-databricks-7eb895da82d9,Scalable Similarity Search with Milvus and Databricks,2022-10-10T00:00:00.000+0000
Mayur Palta (Enterprise Field Engineering),https://medium.com/@mayur_67509/why-delta-lake-is-the-most-widely-used-lakehouse-format-in-the-world-2574cf51b5d3,Blog: Why Delta Lake Is The Most Widely Used Lakehouse Format In The World?,2022-11-01T00:00:00.000+0000
Amir Lyall,https://amirlyall.medium.com/simple-and-scalable-solutions-for-unstructured-data-on-the-lakehouse-1ee1f240cdf9,Simple and Scalable ML Solutions for Unstructured Data on the Lakehouse,2022-10-10T00:00:00.000+0000
Parviz Deyhim (Enterprise Field Engineering),https://pdeyhim.medium.com/better-productivity-and-efficiency-with-databricks-serverless-sql-926e55c18c31,Better productivity and efficiency with Databricks serverless SQL ,2022-10-26T00:00:00.000+0000
Andrew Weaver (Enterprise Field Engineering),https://medium.com/@andrewpweaver/choosing-who-you-listen-to-about-open-wisely-5261622ec97a,Choosing (who you listen to about) Open Wisely,2022-10-03T00:00:00.000+0000
Greg Wood,https://medium.com/@kurlare/cost-conscious-r-d-in-the-cloud-that-data-scientists-will-love-148837b5ab51,Databricks Administration for Data Science Teams,2023-01-15T00:00:00.000+0000
Ryan Chynoweth,https://medium.com/@24chynoweth/databricks-dynamically-generating-tables-with-dlt-f2ca24f3f7b,Dynamically generating tables with DLT,2023-03-10T00:00:00.000+0000
Saurav Bhowmick (Enterprise Field Engineering),https://medium.com/@saurav.bhowmick_24550/secure-cost-effective-way-to-access-cross-region-aws-s3-buckets-from-databricks-883fb7257ef1,Cross Region S3 Access: Secure & Cost effective,2022-10-13T00:00:00.000+0000
Sathish Gangichetty (Enterprise Field Engineering),https://dsmonk.medium.com/building-intelligent-data-products-on-the-lakehouse-341f658dcf62,Speech to Action App: Practical AI on the Lakehouse,2022-03-29T00:00:00.000+0000
Ajmal Aziz (Comm'l/MM Field Engineering),https://medium.com/@ajmal.t.aziz/using-mlflow-to-deploy-graph-neural-networks-for-monitoring-supply-chain-risk-644c87e5259e,Using MLflow to deploy Graph Neural Networks for Monitoring Supply Chain Risk,2022-09-12T00:00:00.000+0000
Laurent Léturgez (Enterprise Field Engineering),https://medium.com/@laurent.leturgez/how-to-bring-your-oracle-autonomous-database-data-into-the-lakehouse-427d01183300,How-to bring your Oracle Autonomous Database data into the Lakehouse.,2022-09-20T00:00:00.000+0000
Tim Lortz (Federal Field Engineering),https://medium.com/@tim.lortz/making-transformer-based-models-first-class-citizens-in-the-lakehouse-cf900cf604d4,How to make transformer-based models first-class citizens in the lakehouse,2022-09-09T00:00:00.000+0000
Laurent Léturgez (Enterprise Field Engineering),https://medium.com/@laurent.leturgez/change-management-during-migration-to-databricks-b6662898d586,Change Management during Migration to Databricks,2022-08-22T00:00:00.000+0000
Jeanne Choo (Enterprise Field Engineering),https://fukumaruuu.medium.com/using-delta-live-tables-and-automation-to-ensure-quality-feature-store-pipelines-1aea35830cbd,Using Delta Live Tables and automation to ensure quality Feature Store pipelines,2023-03-01T00:00:00.000+0000
Kyle Hale,https://medium.com/p/ca65a2401649,Streaming Pipelines on Snowflake,2023-05-10T00:00:00.000+0000
Ivan Trusov (Enterprise Field Engineering),https://polarpersonal.medium.com/end-to-end-mlops-with-azure-databricks-azure-aks-and-azure-eventhubs-part-1-model-training-f191139a36db,"End-to-End MLOps with Azure Databricks, Azure AKS and Azure Event Hubs: Part I, Model Training",2022-08-10T00:00:00.000+0000
Ryan Chynoweth,https://medium.com/@24chynoweth/data-and-ai-summit-key-takeaways-1faecab12139,Data & AI Summit 2022: Key Takeaways,2022-07-13T00:00:00.000+0000
Ryan Chynoweth,https://medium.com/@24chynoweth/deploying-databricks-labs-overwatch-9d7ef33d53bc,Deploying the Databricks Labs Overwatch Project in Azure,2022-06-02T00:00:00.000+0000
David Radford,https://medium.com/@dave.radford/the-future-of-sharing-is-open-d66b9b71df5a,The Future of Sharing is Open,2022-07-27T00:00:00.000+0000
Edward Bullen,https://medium.com/@ed.bullen/fixing-the-data-warehouse-93121d779faa,Fixing the Data Warehouse,2022-06-29T00:00:00.000+0000
Ivan Trusov (Enterprise Field Engineering),https://polarpersonal.medium.com/writing-pyspark-logs-in-apache-spark-and-databricks-8590c28d1d51,Writing Pyspark logs in Apache Spark and Databricks,2022-06-13T00:00:00.000+0000
null,https://medium.com/@aj_93027/is-snowflake-easier-to-use-than-databricks-c444dd0ce6da,Is Snowflake easier to use than Databricks?,2022-08-05T00:00:00.000+0000
Ivan Trusov (Enterprise Field Engineering),https://polarpersonal.medium.com/releasing-and-using-python-packages-with-azure-devops-and-azure-databricks-906ec2ff8e2d,Releasing and using Python packages with Azure DevOps and Azure Databricks,2022-06-19T00:00:00.000+0000
Mendelsohn Neil Chan,https://medium.com/@mendelsohn.chan/building-your-first-dbt-project-on-databricks-3bfba2b95a63,Building your first dbt project on Databricks,2022-07-14T00:00:00.000+0000
David Radford,https://medium.com/@dave.radford/the-cost-of-unstructured-data-4d862e93031b,The Cost of Unstructured Data,2022-05-25T00:00:00.000+0000
Cody Davis (Comm'l/MM Field Engineering),https://medium.com/plotly/building-plotly-dash-apps-on-a-lakehouse-with-databricks-sql-b9761c201717,Building Plotly Dash Apps on a Lakehouse with Databricks SQL,2022-06-25T00:00:00.000+0000
Sanja Jovanovic (Enterprise Field Engineering),https://medium.com/@sanjova/10-databricks-capabilities-every-data-person-needs-to-know-dc3992130b47,10 Databricks Capabilities every Data Person Needs to Know,2022-07-12T00:00:00.000+0000
Rafael V. Pierre,https://mlopshowto.com/what-are-feature-stores-and-why-are-they-critical-for-scaling-machine-learning-94e14afec81d,What are Feature Stores and Why Are They Critical For Scaling Machine Learning,2022-07-25T00:00:00.000+0000
Rafael V. Pierre,https://mlopshowto.com/keeping-your-machine-learning-models-on-the-right-track-getting-started-with-mlflow-part-1-f8ca857b5971,"Keeping Your Machine Learning Models on the Right Track: Getting Started with MLflow, Part 1",2022-07-25T00:00:00.000+0000
Rafael V. Pierre,https://mlopshowto.com/keeping-your-machine-learning-models-on-the-right-track-getting-started-with-mlflow-part-2-bbc980a1f8dc,"Keeping Your Machine Learning Models on the Right Track: Getting Started with MLflow, Part 2",2022-07-20T00:00:00.000+0000
Franco Patano (Enterprise Field Engineering),https://medium.com/@fpatano/top-7-critical-considerations-for-your-modern-data-stack-71fded2ae3d7,Top 7 Critical Considerations for your Modern Data Stack,2022-07-12T00:00:00.000+0000
Timo Roest (Comm'l/MM Field Engineering),https://medium.com/@timo.roest/ship-to-ship-transfer-detection-b370dd9d43e8?source=friends_link&sk=726472dfd10a720000440cf8ad9ba34b,Ship 2 Ship with Mosaic - Geospatial Accelerator No2,2022-07-26T00:00:00.000+0000
Amr Ali,https://blog.devgenius.io/multi-tenant-lakehouse-or-lakehouse-mesh-which-lakehouse-data-architecture-to-choose-62eafa86c671,"Multi-Tenant Lakehouse or Lakehouse Data Mesh, which data Lakehouse architecture to choose?",2022-06-26T00:00:00.000+0000
Abraham Pabbathi (Enterprise Field Engineering),https://medium.com/@abraham.pabbathi/why-lakehouse-over-data-warehouse-121cfc3e24ea,Why Lakehouse over Data Warehouse,2022-06-22T00:00:00.000+0000
null,null,Databricks Serverless SQL + Python = An analyst's dream come true!,2022-06-10T00:00:00.000+0000
Robert Whiffin (Enterprise Field Engineering),https://medium.com/@robert.whiffin_97866/processing-geospatial-data-at-scale-with-sparkr-and-mosaic-on-databricks-32d0d21ff525,Processing geospatial data at scale with SparkR and Mosaic on Databricks,2022-06-24T00:00:00.000+0000
Andrew Weaver (Enterprise Field Engineering),https://medium.com/@andrewpweaver/building-a-pii-firewall-with-delta-live-tables-4160eb9d61a1,Building a PII Firewall with DLT,2022-07-15T00:00:00.000+0000
Florent Brosse,https://florent-brosse.medium.com/image-segmentation-with-databricks-6db19d23725d,Satellite Imaging,2022-10-20T00:00:00.000+0000
Kyle Hale,https://medium.com/@kyle.hale/querying-one-trillion-rows-of-data-with-powerbi-and-azure-databricks-c7e64ae9abda,Querying One Trillion Rows of Data with PowerBI and Azure Databricks,2022-03-07T00:00:00.000+0000
null,https://medium.com/@andrewpweaver/why-2022-is-the-year-we-can-finally-nail-the-5-vs-of-big-data-14cb81a48a7e,Why 2022 is the year we can finally nail the 5 Vs of Big Data,2022-04-06T00:00:00.000+0000
